SAMPLE,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,S,CL,H2O,CO2,FO,FE3FET,FEOTI,VBVOLP,DMI,DHOST,CR,SIO2err,TIO2err,AL2O3err,FEOTerr,MNOerr,MGOerr,CAOerr,NA2Oerr,K2Oerr,P2O5err,Serr,CLerr,H2Oerr,CO2err,FOerr,FE3FETerr,FEOTIerr,VBVOLPerr,DMIerr,DHOSTerr,CRerr
FuegoNL-7,52.29597306,1.195767765,16.55815706,9.875095763,0.178569305,4.221960367,7.338581722,3.680776161,0.656920703,0.209415645,,,4,,72.78483795,0.2,,,0,0,1.53,2.614798653,0.059788388,0.827907853,0.493754788,0.008928465,0.211098018,0.366929086,0.184038808,0.032846035,0.010470782,0,0,0,0,2,0.01,,,0,0,0.31
VF-137B-10,52.44539465,1.254459704,16.98438497,9.002196484,0.159536499,3.578954028,8.229342908,2.701309965,0.790062988,0.247569945,,,4,,75.51203909,0.2,,,0,0,,2.622269733,0.062722985,0.849219249,0.450109824,0.007976825,0.178947701,0.411467145,0.135065498,0.039503149,0.012378497,0,0,0,0,2,0.01,,,0,0,
VF-137B-10_small,50.12527985,1.026878492,19.56450986,9.053264789,0.162454928,2.807418673,9.761729542,1.876048796,0.577152345,0.181952524,,,4,,75.51203909,0.2,,,0,0,,2.506263993,0.051343925,0.978225493,0.452663239,0.008122746,0.140370934,0.488086477,0.09380244,0.028857617,0.009097626,0,0,0,0,2,0.01,,,0,0,
VF137B-16A,51.68369274,1.221394338,17.63262778,10.26540974,0.214646099,3.879521271,8.788408935,3.568027889,0.868790975,0.198306698,,,4,,73.7327467,0.2,,,0,0,,2.584184637,0.061069717,0.881631389,0.513270487,0.010732305,0.193976064,0.439420447,0.178401394,0.043439549,0.009915335,0,0,0,0,2,0.01,,,0,0,
VF-137B-16B,52.07902212,1.215831151,16.60552543,9.471954115,0.150494782,4.073853795,7.945487595,2.946449277,0.806775355,0.222475995,,,4,,73.70436105,0.2,,,0,0,,2.603951106,0.060791558,0.830276272,0.473597706,0.007524739,0.20369269,0.39727438,0.147322464,0.040338768,0.0111238,0,0,0,0,2,0.01,,,0,0,
VF134D-1,50.19485986,0.779416227,18.22133282,9.882501229,0.183647745,3.269334763,9.737682201,1.981657227,0.481834626,0.159537105,,,4,,73.6209945,0.2,,,0,0,,2.509742993,0.038970811,0.911066641,0.494125061,0.009182387,0.163466738,0.48688411,0.099082861,0.024091731,0.007976855,0,0,0,0,2,0.01,,,0,0,
VF134D-15,49.57791167,0.834002251,18.15366576,9.708311322,0.160879549,4.528205168,7.236647169,2.474403476,1.038740345,0.158920122,,,4,,75.7558662,0.2,,,0,0,,2.478895584,0.041700113,0.907683288,0.485415566,0.008043977,0.226410258,0.361832358,0.123720174,0.051937017,0.007946006,0,0,0,0,2,0.01,,,0,0,
VF136-6,50.62291939,0.905814247,16.45304085,9.824644913,0.195420118,4.283723323,7.434563581,1.670062904,0.7610531,0.180343431,,,4,,72.79178258,0.2,,,0,0,,2.53114597,0.045290712,0.822652043,0.491232246,0.00977206,0.214186166,0.371728179,0.083503145,0.038052655,0.009017172,0,0,0,0,2,0.01,,,0,0,
seg 10.1,49.87066667,0.852666667,17.58433333,8.672,0.173666667,6.207333333,10.131,2.274666667,0.356666667,0.144746871,1220.649494,534.7243616,3.85597338,500.7456536,82.31,0.24,,2.341494413,74,659,6.17,2.493533334,0.042633333,0.879216667,0.4336,0.008683333,0.310366667,0.50655,0.113733333,0.017833333,0.007237344,61.0324747,26.73621808,0.192798669,25.03728268,2,0.012,,0.468298883,7.4,65.9,4.02
seg 12.1,51.697,0.54175,17.397,7.81275,0.17475,6.597,9.19125,2.433,0.4085,0.124552016,407.4521801,394.181216,4.01506462,175.7758884,82.52,0.24,,1.570791996,97,659,6.17,2.58485,0.0270875,0.86985,0.3906375,0.0087375,0.32985,0.4595625,0.12165,0.020425,0.006227601,20.37260901,19.7090608,0.200753231,8.78879442,2,0.012,,0.314158399,9.7,65.9,4.02
